Acronym, Full-form
HUD,Department of Housing and Urban Development (U.S.)                                                        
ICE,Immigration and Customs Enforcement (Department of Homeland Security)                                     
TSA,Transportation Security Administration (Department of Homeland Security)                                  
USFS,United States Forest Service (U.S. Department of Agriculture)                                            
VOAD,Volunteer Organizations Active in a Disaster                                                             
NEP,National Exercise Program (Department of Homeland Security)                                               
NISAC,National Infrastructure Simulation and Analysis Center (Department of Homeland Security)                
NPS,National Park Service (Department of the Interior)                                                        
NRP,National Response Plan (Department of Homeland Security)                                                  
NVOAD,National Volunteer Organizations Active in Disaster                                                     
OSM,Office of Surface Mining (Department of the Interior)                                                     
SCRAG,Senior Civilian Representative of the Attorney Gemeral (Department of Homeland Security)                
BCA,Blood Center of America                                                                                   
CHISSA,Center for High Integrity Software System Assurance                                                    
DOL,Department of Labor (U.S.)                                                                                
HEO,Hispanic Employee Organization                                                                            
OPO,Organ Procurement Organization                                                                            
CFG,Center for Functional Genomics (NCTR)                                                                     
CAAT,Center for Alternatives to Animal Testing (Johns Hopkins)                                                
CSPI,Center for Science in the Public Interest                                                                
HPO,high performance organization                                                                             
SCAW,Scientists Center for Animal Welfare                                                                     
AOPC,Agency/Organization Program Coordinator                                                                  
CTP,Center for Tobacco Products                                                                               
